WAST,S,SR,T
30/04/2016 9:00,6,512,20.74
31/05/2016 9:10,5,565,20.97
31/03/2016 9:20,5,574,20.92
31/03/2016 9:30,5,623,21.63
31/03/2016 9:40,6,617,22.39
31/03/2016 9:50,5,623,22.1
31/03/2016 10:00,5,646,22.34
31/03/2016 10:10,5,677,22.72
31/03/2016 10:20,5,705,23.7
31/03/2016 10:30,5,711,22.81
31/03/2016 10:40,5,736,23.45
31/03/2016 10:50,6,774,23.75
31/03/2016 11:00,7,761,24.09
31/03/2016 11:10,6,778,23.85
31/03/2016 11:20,7,777,24.48
31/03/2016 11:30,7,788,23.44
31/03/2016 11:40,6,802,24.33
31/03/2016 11:50,6,796,24.31
31/03/2016 12:00,7,809,25.37
31/03/2016 12:10,7,815,24.64
31/03/2016 12:20,7,811,23.78
31/03/2016 12:30,7,811,23.74
31/03/2016 12:40,7,812,24.3
31/03/2016 12:50,7,822,25.2
31/03/2016 13:00,7,830,24.61
31/03/2016 13:10,6,838,24.66
31/03/2016 13:20,6,840,24.55
31/03/2016 13:30,7,848,24.02
31/03/2016 13:40,8,818,23.79
31/03/2016 13:50,7,802,24.38
31/03/2016 14:00,8,752,24.26
31/03/2016 14:10,7,742,23.59
31/03/2016 14:20,6,715,23.58
31/03/2016 14:30,7,708,23.34
31/03/2016 14:40,8,454,23.66
31/03/2016 14:50,7,663,23.5
31/03/2016 15:00,7,653,24.18
31/03/2016 15:10,7,611,23.62
31/03/2016 15:20,6,177,22.99
31/03/2016 15:30,7,577,22.29
31/03/2016 15:40,6,527,22.78
31/03/2016 15:50,7,517,23.06
31/03/2016 16:00,7,261,22.35
31/03/2016 16:10,6,532,22.12
31/03/2016 16:20,7,449,22.36
31/03/2016 16:30,6,428,21.99
31/03/2016 16:40,7,160,22.07
31/03/2016 16:50,6,288,21.83
31/03/2016 17:00,5,120,21.29
31/03/2016 17:10,5,85,21.01
31/03/2016 17:20,5,100,21.03
31/03/2016 17:30,5,62,20.8
31/03/2016 17:40,5,39,20.74
31/03/2016 17:50,4,35,20.71
31/03/2016 18:00,5,38,20.63
31/03/2016 18:10,6,29,20.34
31/03/2016 18:20,4,16,20.1
31/03/2016 18:30,4,17,20.07
31/03/2016 18:40,4,20,20.15
31/03/2016 18:50,6,25,20.23
31/03/2016 19:00,7,19,20.21
31/03/2016 19:10,6,24,20.12
31/03/2016 19:20,6,8,20.07
31/03/2016 19:30,7,19,20.03
31/03/2016 19:40,6,14,19.85
31/03/2016 19:50,6,10,19.87
31/03/2016 20:00,5,14,19.93
31/03/2016 20:10,4,21,20
31/03/2016 20:20,6,15,20.02
,,,
31/03/2016 20:30,6,24,20.01
31/03/2016 20:40,6,11,19.95
31/03/2016 20:50,5,14,19.93
31/03/2016 21:00,4,17,19.92
31/03/2016 21:10,4,20,19.94
31/03/2016 21:20,4,22,19.92
31/03/2016 21:30,6,16,19.85
31/03/2016 21:40,5,30,19.67
31/03/2016 21:50,4,15,19.34
31/03/2016 22:00,3,27,19.24
31/03/2016 22:10,4,24,19.15
31/03/2016 22:20,4,23,19.27
31/03/2016 22:30,4,17,19.16
31/03/2016 22:40,4,19,19.25
31/03/2016 22:50,3,14,19.16
31/03/2016 23:00,3,17,19.09
31/03/2016 23:10,4,13,18.94
31/03/2016 23:20,4,11,18.81
31/03/2016 23:30,5,13,18.48
31/03/2016 23:40,5,10,18.19
31/03/2016 23:50,3,11,17.95
